년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,5,15,0.014,0.018,0.013,0.008
2014,1,5,16,0.015,0.02,0.015,0.009
2014,1,5,17,0.017,0.018,0.018,0.01
2014,1,5,18,0.022,0.018,0.02,0.012
2014,1,5,19,0.018,0.019,0.02,0.014
2014,1,5,20,0.024,0.018,0.023,0.015
2014,1,5,21,0.026,0.019,0.022,0.019
2014,1,5,22,0.02,0.018,0.023,0.015
2014,1,5,23,0.023,0.015,0.02,0.013
2014,1,5,24,0.014,0.015,0.014,0.008
2014,1,6,1,0.011,0.011,0.012,0.008
2014,1,6,2,0.012,0.011,0.011,0.008
2014,1,6,3,0.013,0.014,0.012,0.009
2014,1,6,4,0.016,0.017,0.014,0.01
2014,1,6,5,0.017,0.016,0.022,0.013
2014,1,6,6,0.02,0.018,0.032,0.016
2014,1,6,7,0.027,0.04,0.039,0.023
2014,1,6,8,0.039,0.035,0.041,0.027
2014,1,6,9,0.038,0.032,0.041,0.026
2014,1,6,10,0.029,0.028,0.039,0.026
2014,1,6,11,0.026,0.023,0.038,0.024
2014,1,6,12,0.027,0.021,0.023,0.02
2014,1,6,13,0.026,0.022,0.026,0.017
2014,1,6,14,0.032,0.022,0.024,0.014
2014,1,6,15,0.039,0.025,0.029,0.016
2014,1,6,16,점검,0.027,0.038,0.019
2014,1,6,17,0.047,0.026,0.042,0.024
2014,1,6,18,0.049,0.03,0.049,0.03
2014,1,6,19,0.06,0.029,0.052,0.031
2014,1,6,20,0.06,0.029,0.052,0.029
2014,1,6,21,0.052,0.033,0.052,0.028
2014,1,6,22,0.054,0.032,0.051,0.028
2014,1,6,23,0.055,0.028,0.049,0.027
2014,1,6,24,0.046,0.027,0.047,0.027
2014,1,7,1,0.03,0.022,0.047,0.026
2014,1,7,2,0.037,0.022,0.045,0.024
2014,1,7,3,0.026,0.021,0.042,0.022
2014,1,7,4,0.017,0.02,0.04,0.022
2014,1,7,5,0.016,0.02,0.04,0.022
2014,1,7,6,0.018,0.023,0.04,0.022
2014,1,7,7,0.033,0.041,0.041,0.023
2014,1,7,8,0.039,0.033,0.04,0.026
2014,1,7,9,0.037,0.033,0.042,0.029
2014,1,7,10,0.028,0.036,0.044,0.025
2014,1,7,11,0.026,0.029,0.04,0.024
2014,1,7,12,0.034,0.024,0.034,0.026
2014,1,7,13,0.029,0.027,0.031,0.019
2014,1,7,14,0.028,0.021,0.02,0.018
2014,1,7,15,0.029,0.023,0.027,0.019
2014,1,7,16,0.033,0.023,0.026,0.021
2014,1,7,17,0.037,0.024,0.03,0.025
2014,1,7,18,0.043,0.023,0.042,0.032
2014,1,7,19,0.057,0.036,0.053,0.034
2014,1,7,20,0.054,0.032,0.057,0.035
2014,1,7,21,0.038,0.029,0.049,0.034
2014,1,7,22,0.046,0.031,0.055,0.033
2014,1,7,23,0.042,0.03,0.053,0.029
2014,1,7,24,0.033,0.026,0.046,0.026
2014,1,8,1,0.031,0.025,0.036,0.02
2014,1,8,2,0.023,0.022,0.027,0.021
2014,1,8,3,0.019,0.018,0.023,0.018
2014,1,8,4,0.012,0.023,0.028,0.015
2014,1,8,5,0.014,0.023,0.03,0.02
2014,1,8,6,0.022,0.026,0.036,0.024
2014,1,8,7,0.033,0.051,0.038,0.023
2014,1,8,8,0.036,0.036,0.043,0.026
2014,1,8,9,0.046,0.028,0.042,0.028
2014,1,8,10,0.04,0.024,0.03,0.028
2014,1,8,11,0.04,0.029,0.035,0.028
2014,1,8,12,0.041,0.026,0.033,0.03
2014,1,8,13,0.035,0.025,0.034,0.023
2014,1,8,14,0.037,0.026,0.036,0.023
2014,1,8,15,0.036,0.025,0.028,0.024
2014,1,8,16,0.038,0.025,점검,0.025
2014,1,8,17,0.045,0.025,점검,0.024
2014,1,8,18,0.044,0.026,0.036,0.023
2014,1,8,19,0.042,0.026,0.038,0.024
2014,1,8,20,0.04,0.022,0.037,0.023
2014,1,8,21,0.032,0.02,0.036,0.02
2014,1,8,22,0.033,0.023,0.033,0.019
2014,1,8,23,0.037,0.02,0.035,0.021
2014,1,8,24,0.032,0.019,0.033,0.02
2014,1,9,1,0.022,0.012,0.021,0.015
2014,1,9,2,0.013,0.009,0.012,0.008
2014,1,9,3,0.009,0.008,0.01,0.007
2014,1,9,4,0.008,0.009,0.009,0.005
2014,1,9,5,0.008,0.008,0.01,0.007
2014,1,9,6,0.009,0.012,0.01,0.008
2014,1,9,7,0.013,0.024,0.016,0.015
2014,1,9,8,0.016,0.039,0.02,0.018
2014,1,9,9,0.019,0.022,0.018,0.016
2014,1,9,10,0.015,0.019,0.016,0.012
2014,1,9,11,0.014,점검,0.014,점검
2014,1,9,12,0.013,0.012,0.011,0.011
2014,1,9,13,0.012,0.014,0.011,0.009
2014,1,9,14,0.012,0.012,0.012,0.009
2014,1,9,15,0.012,0.014,0.012,0.009
2014,1,9,16,0.014,0.016,0.014,0.011
2014,1,9,17,0.016,0.016,0.015,0.013
2014,1,9,18,0.02,0.017,0.018,0.014
2014,1,9,19,0.023,0.018,0.02,0.014
2014,1,9,20,0.022,0.016,0.019,0.011
2014,1,9,21,0.017,0.014,0.019,0.01
2014,1,9,22,0.017,0.013,0.021,0.01
2014,1,9,23,0.015,0.013,0.02,0.007
2014,1,9,24,0.011,0.011,0.015,0.006
2014,1,10,1,0.009,0.01,0.011,0.005
2014,1,10,2,0.009,0.011,0.009,0.005
2014,1,10,3,0.008,0.007,0.007,0.005
2014,1,10,4,0.009,0.007,0.008,0.006
2014,1,10,5,0.01,0.008,0.009,0.006
2014,1,10,6,0.011,0.011,0.01,0.009
2014,1,10,7,0.014,0.026,0.016,0.018
2014,1,10,8,0.021,0.019,0.019,0.021
2014,1,10,9,0.025,0.019,0.02,0.024
2014,1,10,10,0.021,0.017,0.026,0.018
2014,1,10,11,0.018,0.017,0.027,0.014
2014,1,10,12,0.014,0.017,0.022,0.012
2014,1,10,13,0.016,0.015,0.017,0.01
2014,1,10,14,0.015,0.017,0.016,0.011
2014,1,10,15,0.018,0.02,0.014,0.012
2014,1,10,16,0.019,0.016,0.014,0.014
2014,1,10,17,0.022,0.021,0.017,0.017
2014,1,10,18,0.025,0.029,0.023,0.023
2014,1,10,19,0.028,0.018,0.027,0.027
2014,1,10,20,0.025,0.019,0.038,0.022
2014,1,10,21,0.024,0.021,0.041,0.018
2014,1,10,22,0.026,0.023,0.035,0.023
2014,1,10,23,0.026,0.021,0.03,0.025
2014,1,10,24,0.019,0.017,0.03,0.024
2014,1,11,1,0.015,0.016,0.02,0.025
2014,1,11,2,0.012,0.012,0.02,0.02
2014,1,11,3,0.013,0.017,0.015,0.017
2014,1,11,4,0.014,0.014,0.013,0.014
2014,1,11,5,0.015,0.012,0.016,0.016
2014,1,11,6,0.016,0.015,0.018,0.018
2014,1,11,7,0.019,0.03,0.031,0.019
2014,1,11,8,0.02,0.022,0.035,0.033
2014,1,11,9,0.025,0.039,0.033,0.033
2014,1,11,10,0.028,0.028,0.028,0.02
2014,1,11,11,0.021,0.021,0.027,0.016
2014,1,11,12,0.017,0.019,0.023,0.012
2014,1,11,13,0.014,0.018,0.02,0.009
2014,1,11,14,0.015,0.023,0.017,0.01
2014,1,11,15,0.017,0.021,0.017,0.01
2014,1,11,16,0.018,0.028,0.02,0.011
2014,1,11,17,0.021,0.024,0.024,0.013
2014,1,11,18,0.029,0.024,0.034,0.023
2014,1,11,19,0.052,0.025,0.042,0.029
2014,1,11,20,0.053,0.024,0.044,0.029
2014,1,11,21,0.051,0.023,0.045,0.027
2014,1,11,22,0.044,0.025,0.044,0.026
2014,1,11,23,0.036,0.025,0.043,0.027
2014,1,11,24,0.039,0.022,0.041,0.024
2014,1,12,1,0.027,0.021,0.038,0.022
2014,1,12,2,0.022,0.02,0.036,0.021
2014,1,12,3,0.018,0.017,0.029,0.017
2014,1,12,4,0.014,0.017,0.024,0.014
2014,1,12,5,0.015,0.015,0.024,0.016
2014,1,12,6,0.017,0.018,0.03,0.02
2014,1,12,7,0.023,0.042,0.024,0.022
2014,1,12,8,0.023,0.035,0.032,0.025
2014,1,12,9,0.021,0.041,0.031,0.017
2014,1,12,10,0.018,0.028,0.03,0.013
2014,1,12,11,0.022,0.02,0.023,0.013
2014,1,12,12,0.02,0.02,0.016,0.011
2014,1,12,13,0.016,0.019,0.016,0.009
2014,1,12,14,0.019,0.024,0.015,0.009
2014,1,12,15,0.02,0.019,0.015,0.008
2014,1,12,16,0.023,0.024,0.018,0.009
2014,1,12,17,0.025,0.025,0.023,0.013
2014,1,12,18,0.029,0.024,0.031,0.018
2014,1,12,19,0.049,0.03,0.041,0.029
2014,1,12,20,0.029,0.024,0.042,0.028
2014,1,12,21,0.022,0.019,0.037,0.023
2014,1,12,22,0.022,0.019,0.038,0.024
2014,1,12,23,0.02,0.021,0.039,0.024
2014,1,12,24,0.023,0.023,0.033,0.021
2014,1,13,1,0.018,0.018,0.026,0.02
2014,1,13,2,0.017,0.013,0.02,0.015
2014,1,13,3,0.016,0.012,0.018,0.011
2014,1,13,4,0.014,0.01,0.014,0.012
2014,1,13,5,0.014,0.01,0.015,0.011
2014,1,13,6,0.014,0.014,0.016,0.012
2014,1,13,7,0.018,0.028,0.02,0.013
2014,1,13,8,0.018,0.027,0.026,0.022
2014,1,13,9,0.019,0.026,0.035,0.022
2014,1,13,10,0.02,0.022,0.03,0.017
2014,1,13,11,0.021,0.02,0.025,0.015
2014,1,13,12,0.018,0.021,0.02,0.013
2014,1,13,13,0.018,0.022,0.019,0.01
2014,1,13,14,0.018,0.019,0.019,0.012
2014,1,13,15,0.019,0.022,0.018,0.013
2014,1,13,16,0.02,0.025,0.02,0.013
2014,1,13,17,0.024,0.026,0.024,0.018
2014,1,13,18,0.035,0.02,0.033,0.024
2014,1,13,19,0.042,0.033,0.031,0.026
2014,1,13,20,0.037,0.02,0.042,0.024
2014,1,13,21,0.034,0.022,0.042,0.023
2014,1,13,22,0.032,0.022,0.042,0.023
2014,1,13,23,0.035,0.021,0.041,0.021
2014,1,13,24,0.036,0.022,0.038,0.019
2014,1,14,1,0.027,0.018,0.038,0.022
2014,1,14,2,0.026,0.017,0.035,0.02
2014,1,14,3,0.02,0.017,0.034,0.02
2014,1,14,4,0.016,0.016,0.034,0.018
2014,1,14,5,0.019,0.016,0.031,0.017
2014,1,14,6,0.018,0.017,0.031,0.019
2014,1,14,7,0.021,0.022,0.034,0.021
