년,월,일,시,Gwang-bok,On-cheon,Jeon-po,Hak-Jang
2014,1,1,1,129,96,94,94
2014,1,1,2,135,101,103,103
2014,1,1,3,132,104,109,102
2014,1,1,4,146,119,113,110
2014,1,1,5,145,128,131,117
2014,1,1,6,140,117,122,114
2014,1,1,7,137,127,113,98
2014,1,1,8,135,127,123,111
2014,1,1,9,135,132,125,108
2014,1,1,10,135,133,120,105
2014,1,1,11,141,136,123,103
2014,1,1,12,144,126,108,105
2014,1,1,13,151,90,99,115
2014,1,1,14,142,83,99,113
2014,1,1,15,139,98,110,109
2014,1,1,16,140,97,114,105
2014,1,1,17,118,90,95,80
2014,1,1,18,106,91,81,74
2014,1,1,19,92,77,74,61
2014,1,1,20,74,70,69,60
2014,1,1,21,90,76,78,68
2014,1,1,22,83,103,76,70
2014,1,1,23,90,79,70,62
2014,1,1,24,121,96,83,83
2014,1,2,1,126,113,101,96
2014,1,2,2,137,125,113,106
2014,1,2,3,134,121,117,112
2014,1,2,4,137,114,112,104
2014,1,2,5,134,109,114,105
2014,1,2,6,134,96,108,96
2014,1,2,7,127,114,106,91
2014,1,2,8,128,133,108,103
2014,1,2,9,143,171,119,106
2014,1,2,10,138,197,122,159
2014,1,2,11,95,164,105,197
2014,1,2,12,79,106,75,114
2014,1,2,13,77,81,59,86
2014,1,2,14,65,64,57,76
2014,1,2,15,65,67,55,70
2014,1,2,16,점검,59,49,65
2014,1,2,17,42,56,45,74
2014,1,2,18,64,46,37,75
2014,1,2,19,66,45,49,68
2014,1,2,20,75,46,58,58
2014,1,2,21,62,48,53,55
2014,1,2,22,60,70,59,48
2014,1,2,23,60,63,58,57
2014,1,2,24,64,62,56,68
2014,1,3,1,63,58,60,64
2014,1,3,2,53,59,47,50
2014,1,3,3,43,52,49,52
2014,1,3,4,39,42,41,108
2014,1,3,5,31,33,43,72
2014,1,3,6,32,48,42,52
2014,1,3,7,35,51,39,70
2014,1,3,8,32,80,44,72
2014,1,3,9,44,68,66,99
2014,1,3,10,75,105,82,87
2014,1,3,11,91,110,점검,109
2014,1,3,12,61,111,84,99
2014,1,3,13,64,93,63,95
2014,1,3,14,63,52,41,83
2014,1,3,15,73,73,49,75
2014,1,3,16,76,66,46,68
2014,1,3,17,91,69,53,74
2014,1,3,18,92,57,58,104
2014,1,3,19,117,67,70,91
2014,1,3,20,94,42,67,78
2014,1,3,21,78,52,69,63
2014,1,3,22,76,60,64,52
2014,1,3,23,64,62,58,86
2014,1,3,24,56,50,51,78
2014,1,4,1,54,49,55,106
2014,1,4,2,54,41,55,74
2014,1,4,3,49,42,48,71
2014,1,4,4,51,41,43,64
2014,1,4,5,55,43,42,54
2014,1,4,6,55,42,49,57
2014,1,4,7,67,52,55,49
2014,1,4,8,105,79,74,97
2014,1,4,9,110,107,89,164
2014,1,4,10,112,134,108,123
2014,1,4,11,121,148,105,135
2014,1,4,12,97,103,108,107
2014,1,4,13,112,78,94,91
2014,1,4,14,86,68,79,82
2014,1,4,15,80,66,68,81
2014,1,4,16,75,69,57,81
2014,1,4,17,57,61,72,57
2014,1,4,18,63,58,43,54
2014,1,4,19,46,56,35,48
2014,1,4,20,57,44,30,36
2014,1,4,21,45,36,33,29
2014,1,4,22,25,27,18,24
2014,1,4,23,19,23,17,17
2014,1,4,24,22,30,14,19
2014,1,5,1,18,34,18,25
2014,1,5,2,18,26,20,23
2014,1,5,3,19,21,19,22
2014,1,5,4,13,25,12,23
2014,1,5,5,22,22,17,29
2014,1,5,6,22,20,10,32
2014,1,5,7,30,19,19,34
2014,1,5,8,28,30,34,38
2014,1,5,9,22,17,31,35
2014,1,5,10,24,45,33,39
2014,1,5,11,35,70,39,41
2014,1,5,12,49,61,30,31
2014,1,5,13,32,46,28,33
2014,1,5,14,45,56,31,29
2014,1,5,15,67,56,47,48
2014,1,5,16,44,59,43,46
2014,1,5,17,46,44,39,44
2014,1,5,18,52,34,32,31
2014,1,5,19,39,29,26,29
2014,1,5,20,60,43,42,42
2014,1,5,21,66,42,50,51
2014,1,5,22,68,50,47,54
2014,1,5,23,70,46,48,54
2014,1,5,24,68,47,47,51
2014,1,6,1,64,61,54,51
2014,1,6,2,67,51,55,48
2014,1,6,3,57,57,53,47
2014,1,6,4,69,60,59,53
2014,1,6,5,66,71,56,52
2014,1,6,6,77,62,60,55
2014,1,6,7,82,57,65,60
2014,1,6,8,79,84,66,79
2014,1,6,9,87,93,73,120
2014,1,6,10,90,95,85,100
2014,1,6,11,83,116,89,101
2014,1,6,12,75,101,94,94
2014,1,6,13,80,79,67,86
2014,1,6,14,92,67,64,75
2014,1,6,15,89,67,56,80
2014,1,6,16,점검,72,65,88
2014,1,6,17,88,81,59,90
2014,1,6,18,102,83,65,102
2014,1,6,19,111,89,81,89
2014,1,6,20,98,92,81,83
2014,1,6,21,100,85,90,74
2014,1,6,22,100,102,94,83
2014,1,6,23,94,105,86,81
2014,1,6,24,93,98,84,81
2014,1,7,1,98,86,76,88
2014,1,7,2,82,82,78,96
2014,1,7,3,87,85,80,87
2014,1,7,4,81,77,74,74
2014,1,7,5,79,69,65,73
2014,1,7,6,78,74,68,82
2014,1,7,7,73,81,67,80
2014,1,7,8,70,118,74,100
2014,1,7,9,74,145,90,127
2014,1,7,10,81,146,97,121
2014,1,7,11,67,154,102,105
2014,1,7,12,75,117,81,99
